"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5697","Chet","Holmgren","Chet Holmgren","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/chet-holmgren-odds-5697","-115","0.0",0.869565217391304,"37.5","17.39",NA,NA,NA,"-115","0.0",0.869565217391304,"45.2","17.39",NA,NA,NA,"-115","0.0",0.869565217391304,"43.7","17.39",NA,NA,NA,"-115","0.0",0.869565217391304,"45.1","17.39",NA,NA,NA,"-115","0.0",0.869565217391304,"43.7","17.39",NA,NA,NA,"-120","0.0",0.833333333333333,"46.9","16.67",NA,NA,NA,"120","0.0",1.2,"40.6","24.00",NA,NA,NA,"thescore","120","0.0",1.2,NA,"24.00",2026-01-30
"Defensive Player","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/victor-wembanyama-odds-5809","150","0.0",1.5,"28.1","30.00",NA,NA,NA,"185","0.0",1.85,"29.6","37.00",NA,NA,NA,"160","0.0",1.6,"31.4","32.00",NA,NA,NA,"170","0.0",1.7,"31.2","34.00",NA,NA,NA,"160","0.0",1.6,"31.4","32.00",NA,NA,NA,"185","0.0",1.85,"30.2","37.00",NA,NA,NA,"140","0.0",1.4,"37.2","28.00",NA,NA,NA,"mgm","185","0.0",1.85,NA,"37.00",2026-01-30
"Defensive Player","3440","Rudy","Gobert","Rudy Gobert","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/rudy-gobert-odds-3440","300","0.0",3,"17.5","60.00",NA,NA,NA,"550","0.0",5.5,"13.0","110.00",NA,NA,NA,"600","0.0",6,"11.7","120.00",NA,NA,NA,"650","0.0",6.5,"11.2","130.00",NA,NA,NA,"600","0.0",6,"11.7","120.00",NA,NA,NA,"600","0.0",6,"12.3","120.00",NA,NA,NA,"650","0.0",6.5,"11.9","130.00",NA,NA,NA,"fanduel","650","0.0",6.5,NA,"130.00",2026-01-30
"Defensive Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=10","/betting/nba/player/scottie-barnes-odds-5390","2000","0.0",20,"3.3","400.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,"3300","0.0",33,"2.6","660.00",NA,NA,NA,"hardrock","4000","0.0",40,NA,"800.00",2026-01-30
"Defensive Player","4153","Bam","Adebayo","Bam Adebayo","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/bam-adebayo-odds-4153","2000","0.0",20,"3.3","400.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"6000","0.0",60,"1.5","1,200.00",NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2026-01-30
"Defensive Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/amen-thompson-odds-5931","4000","0.0",40,"1.7","800.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"5000","0.0",50,"1.8","1,000.00",NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2026-01-30
"Defensive Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/ausar-thompson-odds-5932","4000","0.0",40,"1.7","800.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"6600","0.0",66,"1.3","1,320.00",NA,NA,NA,"5000","0.0",50,"1.8","1,000.00",NA,NA,NA,"mgm","6600","0.0",66,NA,"1,320.00",2026-01-30
"Defensive Player","5355","Evan","Mobley","Evan Mobley","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/evan-mobley-odds-5355","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-01-30
"Defensive Player","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-01-30
"Defensive Player","5898","Cason","Wallace","Cason Wallace","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/cason-wallace-odds-5898","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-01-30
"Defensive Player","4195","Derrick","White","Derrick White","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=10","/betting/nba/player/derrick-white-odds-4195","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7000","0.0",70,"1.2","1,400.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-01-30
"Defensive Player","3195","Kawhi","Leonard","Kawhi Leonard","LAC","https://content.rotowire.com/images/teamlogo/basketball/100LAC.png?v=10","/betting/nba/player/kawhi-leonard-odds-3195","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2026-01-30
"Defensive Player","3888","Ivica","Zubac","Ivica Zubac","LAC","https://content.rotowire.com/images/teamlogo/basketball/100LAC.png?v=10","/betting/nba/player/ivica-zubac-odds-3888","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2026-01-30
"Defensive Player","4121","OG","Anunoby","OG Anunoby","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=10","/betting/nba/player/og-anunoby-odds-4121","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"35000","0.0",350,"0.2","7,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"35000","0.0",350,"0.2","7,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","4386","Mikal","Bridges","Mikal Bridges","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=10","/betting/nba/player/mikal-bridges-odds-4386","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"35000","0.0",350,"0.2","7,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/dillon-brooks-odds-4125","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","5987","Toumani","Camara","Toumani Camara","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/toumani-camara-odds-5987","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","6254","Donovan","Clingan","Donovan Clingan","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/donovan-clingan-odds-6254","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","5385","Dyson","Daniels","Dyson Daniels","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/dyson-daniels-odds-5385","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"35000","0.0",350,"0.2","7,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","4808","Luguentz","Dort","Luguentz Dort","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/luguentz-dort-odds-4808","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"35000","0.0",350,"0.2","7,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","4387","Shai","Gilgeous-Alexander","Shai Gilgeous-Alexander","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/shai-gilgeous-alexander-odds-4387","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"35000","0.0",350,"0.2","7,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","3299","Draymond","Green","Draymond Green","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=10","/betting/nba/player/draymond-green-odds-3299","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"40000","0.0",400,"0.2","8,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","5339","Jay","Huff","Jay Huff","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=10","/betting/nba/player/jay-huff-odds-5339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","4384","Jaren","Jackson","Jaren Jackson","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/jaren-jackson-odds-4384","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","5221","Jaden","McDaniels","Jaden McDaniels","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/jaden-mcdaniels-odds-5221","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"35000","0.0",350,"0.2","7,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-30
"Defensive Player","6240","Alex","Sarr","Alex Sarr","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=10","/betting/nba/player/alex-sarr-odds-6240","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-30
